App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,vader
Caller ID +,COMMUNICATION,4.00,9498,118000,1000000,Free,0,Everyone,Communication,0.35
All Email Providers,COMMUNICATION,4.10,20901,20901000000,1000000,Free,0,Everyone,Communication,0.215
GO Notifier,COMMUNICATION,4.20,124346,695000,10000000,Free,0,Everyone,Communication,0.067519589
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.10,2556,2556000000,100000,Free,0,Mature 17,Dating,0.033778595
Hinge: Dating & Relationships,DATING,4.20,7779,7779000000,500000,Free,0,Mature 17,Dating,0.156798802
BBW Dating & Plus Size Chat,DATING,4.40,12632,12632000000,1000000,Free,0,Mature 17,Dating,0.131246685
CMB Free Dating App,DATING,4.00,48845,48845000000,1000000,Free,0,Mature 17,Dating,0.29175712
Free Dating App & Flirt Chat - Match with Singles,DATING,4.40,172460,172460000000,5000000,Free,0,Mature 17,Dating,0.33969697
Black People Meet Singles Date,DATING,3.90,10212,10212000000,1000000,Free,0,Mature 17,Dating,0.249341259
Free Dating App & Flirt Chat - Cheers,DATING,4.40,667,667000000,10000,Free,0,Mature 17,Dating,0.301926294
Free Dating Hook Up Messenger,DATING,3.30,1157,1157000000,100000,Free,0,Mature 17,Dating,0.147288453
BLK - Swipe. Match. Chat.,DATING,4.10,2067,2067000000,100000,Free,0,Mature 17,Dating,0.307677635
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.90,1643,1643000000,500000,Free,0,Mature 17,Dating,0.324570282
Free Dating & Flirt Chat - Choice of Love,DATING,4.00,42194,25458349,5000000,Free,0,Mature 17,Dating,0.032965368
BeWild Free Dating & Chat App,DATING,3.40,1999,1999000000,100000,Free,0,Mature 17,Dating,0.170372213
"FastMeet: Chat, Dating, Love",DATING,4.20,22544,22544000000,1000000,Free,0,Mature 17,Dating,0.344173401
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.10,97684,97684000000,1000000,Free,0,Mature 17,Dating,0.117836201
Dating for 50 plus Mature Singles â€“ FINALLY,DATING,4.60,13046,13046000000,500000,Free,0,Mature 17,Dating,0.332539683
Christian Dating For Free App,DATING,3.90,8722,8722000000,500000,Free,0,Mature 17,Dating,0.098026033
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.40,35206,35206000000,1000000,Free,0,Everyone,Dating,-0.069639794
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.10,825,25458349,100000,Free,0,Mature 17,Dating,-0.050325833
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.30,135418,25458349,10000000,Free,0,Mature 17,Dating,0.138052486
Gay Sugar Daddy Dating & Hookup â€“ Sudy Gay,DATING,4.10,2212,2212000000,100000,Free,0,Mature 17,Dating,0.200868352
BBWCupid - BBW Dating App,DATING,3.50,241,241000000,50000,Free,0,Mature 17,Dating,0.126911733
ChatVideo Meet new people,DATING,4.20,63986,63986000000,5000000,Free,0,Mature 17,Dating,0.231919826
FlirtChat - â™¥Free Dating/Flirting Appâ™¥,DATING,4.30,2430,2430000000,500000,Free,0,Mature 17,Dating,0.420992579
"Herpes Dating: 1,000K+ Singles",DATING,4.00,738,738000000,10000,Free,0,Mature 17,Dating,0.174108304
95Live -SG#1 Live Streaming App,DATING,4.10,4953,4953000000,1000000,Free,0,Teen,Dating,0.069002331
2RedBeans,DATING,4.00,337,337000000,10000,Free,0,Mature 17,Dating,0.412199179
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.10,923,923000000,100000,Free,0,Mature 17,Dating,0.211675464
Herpes Positive Singles Dating,DATING,4.40,198,198000000,10000,Free,0,Mature 17,Dating,0.30665024
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.40,218,218000000,10000,Free,0,Mature 17,Dating,0.18276633
Hitwe - meet people and chat,DATING,4.20,243950,243950000000,10000000,Free,0,Mature 17,Dating,-0.139456019
FERZU - Furries Social Network,DATING,3.90,1576,25458349,10000,Free,0,Mature 17,Dating,0.081865322
"2Date Dating App, Love and matching",DATING,4.40,41605,41605000000,500000,Free,0,Mature 17,Dating,0.28026717
Free Live Talk-Video Call,DATING,4.70,158,158000000,10000,Free,0,Mature 17,Dating,-0.1
Duolingo: Learn Languages Free,EDUCATION,4.70,6289924,25458349,100000000,Free,0,Everyone,Education;Education,0.200407738
Babbel â€“ Learn Languages,EDUCATION,4.30,266948,266948000000,10000000,Free,0,Everyone,Education,0.391636153
Flippy Campus - Buy & sell on campus at a discount,EDUCATION,4.00,889,889000000,500000,Free,0,Everyone,Education,0.395283932
ABC Preschool Free,EDUCATION,3.80,27572,27572000000,5000000,Free,0,Everyone,Education;Education,0.22080488
English with Lingualeo,EDUCATION,4.70,254519,254519000000,5000000,Free,0,Everyone,Education,0.135168651
Brilliant,EDUCATION,4.50,41185,25458349,1000000,Free,0,Everyone,Education,0.241654833
C++ Tutorials,EDUCATION,4.10,358,358000000,50000,Free,0,Everyone,Education,0.530925926
C++ Programming,EDUCATION,4.30,11904,11904000000,1000000,Free,0,Everyone,Education,0.196451049
C Programming,EDUCATION,4.30,22251,22251000000,1000000,Free,0,Everyone,Education,0.276800067
GMAT Question Bank,EDUCATION,4.20,240,240000000,10000,Free,0,Everyone,Education,0.268899924
GRE Tutor,EDUCATION,4.00,275,275000000,50000,Free,0,Everyone,Education,0.408694639
GRE Flashcards,EDUCATION,4.50,13791,25458349,500000,Free,0,Everyone,Education,0.262055287
GMAT Math Flashcards,EDUCATION,4.40,1769,25458349,100000,Free,0,Everyone,Education,0.412735997
GRE Prep & Practice by Magoosh,EDUCATION,4.40,3963,25458349,100000,Free,0,Everyone,Education,0.388015713
Babbel â€“ Learn Spanish,EDUCATION,4.40,54798,54798000000,1000000,Free,0,Everyone,Education,0.309364073
HomeWork,EDUCATION,4.30,16195,16195000000,1000000,Free,0,Everyone,Education,1
Common Core,EDUCATION,4.00,835,835000000,100000,Free,0,Everyone,Education,-0.00881078
Homework Planner,EDUCATION,4.00,2525,2525000000,100000,Free,0,Everyone,Education,0.277523613
Edmodo,EDUCATION,4.10,200058,200058000000,10000000,Free,0,Everyone,Education,0.404155535
"HelloTalk â€” Chat, Speak & Learn Foreign Languages",EDUCATION,4.40,84309,84309000000,5000000,Free,0,Everyone,Education,0.202326389
Canvas Student,EDUCATION,4.50,42828,25458349,1000000,Free,0,Everyone,Education,0.125
EasyBib: Citation Generator,EDUCATION,3.50,1405,1405000000,100000,Free,0,Everyone,Education,0.071831662
Hotstar,ENTERTAINMENT,4.30,4885646,25458349,100000000,Free,0,Teen,Entertainment,0.038177826
H TV,ENTERTAINMENT,4.30,103078,103078000000,5000000,Free,0,Everyone,Entertainment,0.302115385
DStv Now,ENTERTAINMENT,3.90,34923,25458349,5000000,Free,0,Teen,Entertainment,0.023143659
BBC Media Player,ENTERTAINMENT,3.40,87384,25458349,10000000,Free,0,Everyone,Entertainment,-0.028519834
Amazon Prime Video,ENTERTAINMENT,4.20,411683,411683000000,50000000,Free,0,Teen,Entertainment,0.461111111
Cinemark Theatres,ENTERTAINMENT,4.10,21867,21867000000,1000000,Free,0,Teen,Entertainment,0.070155407
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.60,243747,25458349,10000000,Free,0,Teen,Entertainment,0.142601889
Harkins Theatres,ENTERTAINMENT,4.30,1511,1511000000,100000,Free,0,Everyone,Entertainment,0.088644428
AMC Theatres,ENTERTAINMENT,4.30,44550,44550000000,1000000,Free,0,Everyone,Entertainment,0.135694444
Food Network,ENTERTAINMENT,4.10,7813,25458349,500000,Free,0,Teen,Entertainment,0.028354858
Cooking Channel,ENTERTAINMENT,4.10,1033,1033000000,100000,Free,0,Teen,Entertainment,0.364018944
Animal Planet GO,ENTERTAINMENT,4.20,2442,2442000000,100000,Free,0,Teen,Entertainment,0.273571429
Crunchyroll - Everything Anime,ENTERTAINMENT,3.70,310066,25458349,10000000,Free,0,Teen,Entertainment,0.177510033
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3.00,493,493000000,50000,Free,0,Everyone,Entertainment,0.086058391
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.10,33387,33387000000,1000000,Free,0,Teen,Entertainment,0.211278773
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.90,60841,25458349,5000000,Free,0,Teen,Entertainment,0.048090236
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.00,29706,29706000000,1000000,Free,0,Teen,Entertainment,0.353882576
BET NOW - Watch Shows,ENTERTAINMENT,4.20,14807,14807000000,1000000,Free,0,Teen,Entertainment,0.051088076
Comedy Central,ENTERTAINMENT,3.90,22378,22378000000,1000000,Free,0,Teen,Entertainment,0.171423766
CW Seed,ENTERTAINMENT,4.50,16372,16372000000,500000,Free,0,Teen,Entertainment,0.305569334
HBO GO: Stream with TV Package,ENTERTAINMENT,3.80,87723,87723000000,10000000,Free,0,Teen,Entertainment,-0.055652712
FOX,ENTERTAINMENT,3.70,197774,197774000000,10000000,Free,0,Mature 17,Entertainment,0.213984025
Hamilton â€” The Official App,ENTERTAINMENT,4.50,1575,1575000000,100000,Free,0,Everyone,Entertainment,0.161047232
Funny Pics,ENTERTAINMENT,3.90,9941,25458349,1000000,Free,0,Teen,Entertainment,0.15368272
Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,4.50,787177,25458349,10000000,Free,0,Everyone,Entertainment,0.046784879
All Events in City,EVENTS,4.00,3782,3782000000,100000,Free,0,Everyone,Events,0.50285974
DroidAdmin for Android - Advice,EVENTS,4.20,811,811000000,10000,Free,0,Everyone,Events,0.126175214
Happy Birthday Songs Offline,EVENTS,4.40,464,464000000,100000,Free,0,Everyone,Events,0.364705882
"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,4.50,8800,8800000000,1000000,Free,0,Everyone,Events,0.379740097
Goldstar: Live Event Tickets,EVENTS,4.50,1953,25458349,100000,Free,0,Teen,Events,0.549266414
Citibanamex Movil,FINANCE,3.60,52306,52306000000,5000000,Free,0,Everyone,Finance,0.150061448
Bualuang mBanking,FINANCE,4.00,48445,48445000000,5000000,Free,0,Everyone,Finance,0.004322019
BBVA Spain,FINANCE,4.20,36746,25458349,5000000,Free,0,Everyone,Finance,0.515085706
Ecobank Mobile Banking,FINANCE,4.00,12073,12073000000,1000000,Free,0,Everyone,Finance,-0.014860032
Banorte Movil,FINANCE,4.10,111632,111632000000,1000000,Free,0,Everyone,Finance,0.116998668
Credit Karma,FINANCE,4.70,706301,25458349,10000000,Free,0,Everyone,Finance,0.27005168
BZWBK24 mobile,FINANCE,4.50,64959,64959000000,1000000,Free,0,Everyone,Finance,0.326882552
"GCash - Buy Load, Pay Bills, Send Money",FINANCE,4.00,25508,25458349,1000000,Free,0,Everyone,Finance,0.027082441
Google Pay,FINANCE,4.20,347838,25458349,100000000,Free,0,Everyone,Finance,0.115687486
"Even - organize your money, get paid early",FINANCE,4.80,12304,12304000000,100000,Free,0,Everyone,Finance,0.283928571
Digit Save Money Automatically,FINANCE,4.50,8188,8188000000,100000,Free,0,Everyone,Finance,0.250246309
Acorns - Invest Spare Change,FINANCE,4.30,45957,25458349,1000000,Free,0,Everyone,Finance,0.046666667
Expense IQ Money Manager,FINANCE,4.40,21570,21570000000,1000000,Free,0,Everyone,Finance,0.227506189
Experian - Free Credit Report,FINANCE,4.60,23130,23130000000,1000000,Free,0,Everyone,Finance,0.170504371
Branch,FINANCE,4.60,69973,69973000000,1000000,Free,0,Everyone,Finance,0.264229798
CreditWise from Capital One,FINANCE,4.60,26587,26587000000,1000000,Free,0,Everyone,Finance,0.239454294
Credit Sesame,FINANCE,4.30,25166,25166000000,1000000,Free,0,Everyone,Finance,0.088667386
Fresh EBT - Food Stamp Balance,FINANCE,4.50,19870,19870000000,1000000,Free,0,Everyone,Finance,0.159727405
CNBC: Breaking Business News & Live Market Data,FINANCE,4.20,24647,25458349,1000000,Free,0,Everyone,Finance,0.247703764
Bloomberg Professional,FINANCE,4.10,3334,25458349,500000,Free,0,Everyone,Finance,-0.023352724
E*TRADE Mobile,FINANCE,3.90,10658,10658000000,1000000,Free,0,Everyone,Finance,0.153273414
Fox Business,FINANCE,3.70,2594,25458349,500000,Free,0,Everyone,Finance,0.088826741
Current debit card and app made for teens,FINANCE,4.30,685,685000000,50000,Free,0,Everyone,Finance,0.327258373
Betterment,FINANCE,4.40,3780,3780000000,100000,Free,0,Everyone,Finance,0.143252198
Citizens Bank Mobile Banking,FINANCE,4.10,15192,15192000000,1000000,Free,0,Everyone,Finance,0.013179055
GoBank,FINANCE,4.40,5950,5950000000,500000,Free,0,Everyone,Finance,0.039100828
BBVA Compass Banking,FINANCE,4.30,5905,5905000000,500000,Free,0,Everyone,Finance,0.205590224
BankMobile Vibe App,FINANCE,4.30,14627,14627000000,1000000,Free,0,Everyone,Finance,0.353454577
ACE Elite,FINANCE,4.10,2898,2898000000,100000,Free,0,Everyone,Finance,0.252170916
Associated Credit Union Mobile,FINANCE,4.70,3290,3290000000,50000,Free,0,Everyone,Finance,0.388092829
Bank of America Mobile Banking,FINANCE,4.40,341090,341090000000,10000000,Free,0,Everyone,Finance,0.180026829
Discover Mobile,FINANCE,4.60,87951,87951000000,5000000,Free,0,Everyone,Finance,-0.041666667
Amex Mobile,FINANCE,4.30,24729,24729000000,1000000,Free,0,Everyone,Finance,0.175666326
Citi MobileÂ®,FINANCE,4.00,78306,78306000000,5000000,Free,0,Everyone,Finance,-0.038730655
Chase Mobile,FINANCE,4.60,1374549,1374549000000,10000000,Free,0,Everyone,Finance,0.048165997
HDFC Bank MobileBanking,FINANCE,4.20,208463,25458349,10000000,Free,0,Everyone,Finance,0.11144867
Barclays US for Android,FINANCE,4.10,6998,6998000000,1000000,Free,0,Everyone,Finance,0.017928004
Easy Recipes,FOOD_AND_DRINK,4.70,2707,2707000000,100000,Free,0,Everyone,Food & Drink,0.270538194
Debonairs Pizza,FOOD_AND_DRINK,3.80,3320,3320000000,500000,Free,0,Everyone,Food & Drink,0.046527778
Dunkin' Donuts,FOOD_AND_DRINK,4.20,68103,68103000000,1000000,Free,0,Everyone,Food & Drink,0.19655993
Grubhub: Food Delivery,FOOD_AND_DRINK,4.50,155944,155944000000,5000000,Free,0,Everyone,Food & Drink,0.122739329
Domino's Pizza USA,FOOD_AND_DRINK,4.70,1032935,25458349,10000000,Free,0,Everyone,Food & Drink,0.209078642
Dairy Queen,FOOD_AND_DRINK,3.70,731,731000000,100000,Free,0,Everyone,Food & Drink,0.189409722
Healthy Recipes Free,FOOD_AND_DRINK,4.00,1077,1077000000,100000,Free,0,Everyone,Food & Drink,0.403393912
Cookbook Recipes,FOOD_AND_DRINK,4.10,46539,25458349,5000000,Free,0,Teen,Food & Drink,0.565437038
Easy Healthy Recipes,FOOD_AND_DRINK,4.10,278,278000000,50000,Free,0,Everyone,Food & Drink,0.445762474
Allrecipes Dinner Spinner,FOOD_AND_DRINK,4.50,61881,25458349,5000000,Free,0,Everyone,Food & Drink,0.272999544
Cookpad,FOOD_AND_DRINK,4.50,131569,131569000000,10000000,Free,0,Everyone,Food & Drink,0.257436768
"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,4.30,31986,31986000000,1000000,Free,0,Teen,Food & Drink,0.328222403
Foursquare City Guide,FOOD_AND_DRINK,4.10,483960,25458349,10000000,Free,0,Teen,Food & Drink,0.20027868
Eat24 Food Delivery & Takeout,FOOD_AND_DRINK,4.30,40116,25458349,1000000,Free,0,Everyone,Food & Drink,0.171610521
BeyondMenu Food Delivery,FOOD_AND_DRINK,4.70,51517,25458349,1000000,Free,0,Everyone,Food & Drink,0.40874269
EatStreet Food Delivery App,FOOD_AND_DRINK,4.60,7690,7690000000,100000,Free,0,Everyone,Food & Drink,0.383265303
Caviar - Food Delivery,FOOD_AND_DRINK,4.20,3755,3755000000,100000,Free,0,Everyone,Food & Drink,0.217374781
DoorDash - Food Delivery,FOOD_AND_DRINK,4.50,104504,25458349,1000000,Free,0,Everyone,Food & Drink,0.072407103
Home Workout - No Equipment,HEALTH_AND_FITNESS,4.80,428156,428156000000,10000000,Free,0,Everyone,Health & Fitness,0.338351856
30 Day Fitness Challenge - Workout at Home,HEALTH_AND_FITNESS,4.80,471036,25458349,10000000,Free,0,Everyone,Health & Fitness,0.333536873
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.80,12705,12705000000,1000000,Free,0,Everyone,Health & Fitness,0.523449519
Fat Burning Workout - Home Weight lose,HEALTH_AND_FITNESS,4.50,706,706000000,100000,Free,0,Everyone,Health & Fitness,0.17526901
Fitbit,HEALTH_AND_FITNESS,3.90,357417,25458349,10000000,Free,0,Everyone,Health & Fitness,0.245554654
Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.50,9116,9116000000,500000,Free,0,Everyone,Health & Fitness,0.352146825
Abs Training-Burn belly fat,HEALTH_AND_FITNESS,4.70,2071,2071000000,100000,Free,0,Everyone,Health & Fitness,0.217418823
Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,4.70,50294,50294000000,1000000,Free,0,Everyone,Health & Fitness,0.348028718
